epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,388.915,3.96672,0.37089,0.67406,2.52613,0.0700475,0.00332806,0.00332806
2,800.357,2.63083,0.50178,0.78386,1.91938,0.039388,0.00600191,0.00600191
3,1190.58,2.42702,0.41079,0.70545,2.38557,0.00806851,0.00801577,0.00801577
4,1582.44,2.42566,0.50921,0.78554,1.92313,0.00703,0.00703,0.00703
5,1971.95,2.15672,0.52069,0.80079,1.87108,0.00604,0.00604,0.00604
6,2373.13,1.90097,0.57644,0.83782,1.63211,0.00505,0.00505,0.00505
7,2777.59,1.6469,0.61109,0.85941,1.4887,0.00406,0.00406,0.00406
8,3191.22,1.44439,0.6402,0.87287,1.37689,0.00307,0.00307,0.00307
9,3607.26,1.22273,0.66119,0.88426,1.31294,0.00208,0.00208,0.00208
10,4030.72,1.03598,0.68307,0.89475,1.22479,0.00109,0.00109,0.00109
